,x,y,z
14,111.73,-32.84,2.06
20,117.52,-3.27,2.27
38,109.43,-46.68,2.83
95,304.81,-39.77,2.8
96,320.02,-73.98,2.39
165,121.42,-6.3,2.23
184,111.31,-80.68,2.04
260,123.58,-2.15,2.47
333,127.1,-27.1,2.06
399,127.19,-2.35,2.68
420,123.28,26.46,2.02
468,290.84,-58.79,0.46
549,142.24,-39.68,2.64
587,289.45,-53.76,2.86
599,136.96,-18.56,2.26
613,144.57,-36.2,2.0
618,140.55,-25.2,3.0
907,173.32,-45.59,2.53
911,142.07,-4.34,2.93
932,148.98,-14.9,2.12
1013,146.57,-5.86,1.79
1160,166.67,-23.45,2.87
1198,162.29,-16.69,2.85
1215,157.35,-10.09,2.89
1226,205.16,-44.47,2.95
1452,180.97,-20.25,0.85
1572,170.59,-6.16,2.69
1600,162.79,1.18,2.99
1661,205.34,-25.31,2.79
1703,162.58,4.57,0.08
1708,209.24,-25.25,0.12
1785,196.93,-15.95,1.64
1786,177.99,-3.74,1.65
1824,223.56,-27.2,2.84
1846,203.86,-17.74,2.23
1859,220.95,-25.14,2.58
1893,209.52,-19.58,2.77
1897,205.21,-17.24,1.7
1904,185.69,-5.64,3.0
1942,206.45,-16.59,2.05
1950,238.81,-28.86,2.64
1998,214.51,-18.5,2.06
2055,199.79,-8.96,0.5
2082,167.46,10.41,1.9
2089,174.34,6.73,2.62
2280,189.72,4.17,2.88
2288,226.06,-14.27,1.98
2320,261.21,-25.29,-0.72
2415,196.77,4.45,1.93
2466,189.54,9.63,2.98
2484,227.22,-8.88,-1.46
2545,260.16,-20.86,2.93
2610,239.83,-11.33,1.5
2685,238.42,-8.27,1.84
2765,249.01,-11.28,2.7
2819,242.62,-6.49,2.45
2837,209.52,11.68,2.9
2882,187.44,22.48,2.88
2883,187.44,22.48,1.98
2935,213.69,13.03,0.38
2982,192.23,23.41,1.14
3157,255.98,-4.71,2.25
3177,243.15,4.4,2.81
3199,262.8,-7.69,1.78
3299,274.29,-12.6,1.86
3477,272.08,-7.37,1.96
3625,265.94,2.82,2.21
3675,285.98,-14.41,1.68
3689,278.46,-7.01,2.25
3724,275.88,-3.54,2.5
3738,241.49,29.05,1.98
3863,206.82,48.21,2.98
3972,226.43,48.94,1.35
4047,216.55,54.65,2.61
4189,289.6,-4.9,2.76
4206,283.03,8.57,2.69
4285,149.17,54.8,2.37
4291,142.85,51.01,1.79
4347,224.22,66.83,2.56
4524,250.65,70.81,2.14
4544,140.84,61.38,2.44
4611,296.0,11.57,2.6
4620,290.59,39.26,3.0
4646,298.23,3.79,2.8
4652,290.99,44.5,2.59
4720,300.13,-0.36,1.33
4721,300.13,-0.36,1.73
4747,295.48,46.05,2.95
4753,300.17,5.65,1.63
4776,297.87,39.31,2.65
4788,301.66,-6.3,2.69
4809,301.26,13.88,2.17
4843,302.46,3.18,1.25
4895,122.18,61.16,1.77
4905,118.29,78.77,2.9
4922,312.34,73.63,2.83
5010,311.1,39.26,3.0
5018,309.42,25.79,2.75
5044,113.11,61.58,2.27
5046,316.11,50.84,0.98
5122,310.19,8.72,2.3
5181,100.69,65.32,1.86
5221,314.07,14.19,2.55
5225,5.3,73.03,2.68
5257,311.77,1.25,0.61
5278,319.46,24.08,2.06
5330,15.14,69.11,-0.04
5430,322.77,16.67,2.31
5449,315.78,-0.71,-0.01
5450,315.78,-0.71,1.33
5459,321.61,11.44,2.3
5496,39.38,64.78,2.7
5521,340.33,38.01,2.75
5553,112.65,40.5,2.08
5561,326.25,13.91,2.68
5661,315.71,-9.55,2.89
5675,352.02,39.23,2.61
5766,333.19,11.89,2.78
5783,41.87,53.77,2.23
5844,14.2,44.08,2.65
5887,321.85,-7.52,2.85
5934,347.22,20.23,2.89
5943,350.1,22.49,2.32
5948,42.37,48.16,2.0
5974,353.19,23.6,2.62
6046,8.85,32.2,2.74
6074,351.31,17.0,2.89
6122,92.58,40.95,2.74
6124,351.95,15.06,0.96
6138,39.01,40.21,2.77
6155,351.54,12.81,2.82
6165,6.28,23.59,2.56
6202,52.66,40.28,2.81
6207,321.54,-15.26,1.92
6231,348.82,6.56,2.29
6367,6.72,14.01,2.43
6450,335.37,-11.01,2.85
6497,351.27,-1.84,2.69
6499,340.76,-8.83,2.95
6515,351.74,-2.21,1.63
6524,79.58,33.31,2.79
6541,347.14,-5.98,1.87
6544,35.9,22.57,2.08
6568,351.04,-4.72,2.41
6591,29.21,17.19,2.77
6693,79.06,29.22,2.23
6734,0.92,-4.54,2.99
6847,3.0,-7.15,2.7
6867,359.2,-9.81,1.85
6901,7.66,-6.52,2.81
6989,67.44,19.24,0.03
7109,9.56,-12.43,2.02
7181,6.84,-15.35,2.6
7222,46.86,3.25,2.99
7251,15.89,-13.29,2.89
7512,48.73,-7.08,2.72
7515,78.71,10.24,2.87
7543,47.74,-8.91,0.77
7776,340.91,-35.19,1.94
7782,78.15,1.87,2.2
7910,84.28,2.0,1.25
7935,75.94,-5.71,2.46
8148,101.0,9.17,2.44
8218,48.02,-37.88,2.91
8293,65.57,-31.46,2.39
8307,37.6,-46.01,2.87
8399,59.93,-42.07,2.96
8410,350.0,-52.47,1.74
8487,330.22,-47.96,2.86
8621,346.27,-57.95,2.1
8635,92.5,-24.95,2.94
8713,20.49,-64.9,1.16
8760,95.74,-29.05,2.42
8766,88.28,-40.38,2.49
